n_stations,D,r_mec,D_over_2,kappa,covered,area
2,2482.47119596122,1241.23559798061,1241.23559798061,1.0,True,49374.191925436775
2,2386.1701154645157,1193.0850577322578,1193.0850577322578,1.0,True,41118.16655770672
2,2266.0080790294437,1133.0040395147219,1133.0040395147219,1.0,True,14642.008885291201
2,2162.292298379034,1081.146149189517,1081.146149189517,1.0,True,39296.642824359384
2,2627.932723157926,1313.966361578963,1313.966361578963,1.0,True,54595.13108150017
2,2076.9321259024987,1038.4660629512493,1038.4660629512493,1.0,True,37477.08614322626
2,1712.8928787922,856.4464393961,856.4464393961,1.0,True,15754.687922721929
2,2536.6567122234924,1268.3283561117462,1268.3283561117462,1.0,True,28602.658915043372
2,2304.137165002203,1152.0685825011014,1152.0685825011014,1.0,True,24668.316310607886
2,2147.4315466598273,1073.7157733299136,1073.7157733299136,1.0,True,39607.59492855362
2,2683.0571177794327,1341.5285588897164,1341.5285588897164,1.0,True,46769.571386721844
2,2300.1024908261734,1150.0512454130867,1150.0512454130867,1.0,True,22275.42593876803
2,2009.8817867029488,1004.9408933514744,1004.9408933514744,1.0,True,16361.797170863108
2,1960.8373588053607,980.4186794026804,980.4186794026804,1.0,True,8386.10370654778
2,1809.5998497991768,904.7999248995884,904.7999248995884,1.0,True,18748.369516611507
2,2578.679479435633,1289.3397397178164,1289.3397397178164,1.0,True,49706.71478646777
2,2093.1639496772573,1046.5819748386286,1046.5819748386286,1.0,True,37939.43204646738
2,1969.1108118792615,984.5554059396308,984.5554059396308,1.0,True,28730.863997695484
2,1981.7905022621,990.89525113105,990.89525113105,1.0,True,31185.8774715138
2,1867.0438292632034,933.5219146316017,933.5219146316017,1.0,True,22876.90806829784
2,1667.704351195516,833.852175597758,833.852175597758,1.0,True,23516.97106920151
2,1550.9416585237705,775.4708292618852,775.4708292618852,1.0,True,19295.515429131432
2,1978.0897637909793,989.0448818954897,989.0448818954897,1.0,True,32922.92437368315
2,2256.5447495589046,1128.2723747794523,1128.2723747794523,1.0,True,43842.802675764564
2,2379.1749226370803,1189.5874613185401,1189.5874613185401,1.0,True,48465.22972548224
2,1454.624942992541,727.3124714962705,727.3124714962705,1.0,True,16741.29271037425
2,1932.8516829011255,966.4258414505628,966.4258414505628,1.0,True,20424.601535923684
2,1853.8017172121938,926.9008586060969,926.9008586060969,1.0,True,27555.19893737347
2,2088.364797520004,1044.182398760002,1044.182398760002,1.0,True,38051.14077685413
2,2675.2054779395903,1337.6027389697952,1337.6027389697952,1.0,True,57386.44273819681
2,1859.1080536509342,929.5540268254671,929.5540268254671,1.0,True,25980.03432968691
2,1756.5099291191143,878.2549645595572,878.2549645595572,1.0,True,25684.244076877163
2,1690.3936871672638,845.1968435836319,845.1968435836319,1.0,True,24569.944755158533
2,2044.4654194953978,1022.2327097476989,1022.2327097476989,1.0,True,36479.05062560277
2,1823.487690304519,911.7438451522595,911.7438451522595,1.0,True,27699.73561972624
2,2012.6524283263948,1006.3262141631974,1006.3262141631974,1.0,True,29923.79523703349
2,2497.6299400446283,1248.8149700223141,1248.8149700223141,1.0,True,51628.2249683392
2,2101.1858948054987,1050.5929474027494,1050.5929474027494,1.0,True,24116.702269111964
2,2066.146687973302,1033.073343986651,1033.073343986651,1.0,True,21376.732945359006
2,1867.7868491664642,933.8934245832321,933.8934245832321,1.0,True,30421.737084390614
2,2184.0805358531434,1092.0402679265717,1092.0402679265717,1.0,True,27868.952393459957
2,1790.141378388023,895.0706891940115,895.0706891940115,1.0,True,19633.82126543732
2,1867.5480578804202,933.7740289402101,933.7740289402101,1.0,True,27355.742114322646
2,1548.4031556870739,774.2015778435369,774.2015778435369,1.0,True,20851.301228463493
2,2262.8779951538627,1131.4389975769313,1131.4389975769313,1.0,True,40996.155488277924
2,1923.4885892101722,961.7442946050861,961.7442946050861,1.0,True,25393.430409799817
2,2260.1221296008807,1130.0610648004404,1130.0610648004404,1.0,True,35739.8418904299
2,1826.704451034189,913.3522255170946,913.3522255170946,1.0,True,25093.18899129996
2,2347.4847068368967,1173.7423534184484,1173.7423534184484,1.0,True,41949.8100298098
2,1721.4041248859244,860.7020624429622,860.7020624429622,1.0,True,25801.20908590058
2,2064.6200907831703,1032.3100453915852,1032.3100453915852,1.0,True,35856.58261723064
2,2627.3689656831257,1313.6844828415628,1313.6844828415628,1.0,True,3897.0131396434444
2,2714.9023231411925,1357.4511615705962,1357.4511615705962,1.0,True,36715.22087395159
2,2060.7616173252245,1030.3808086626123,1030.3808086626123,1.0,True,29388.564240434163
2,1996.6348974555551,998.3174487277776,998.3174487277776,1.0,True,27853.279572304396
2,2498.9768330050583,1249.4884165025292,1249.4884165025292,1.0,True,31804.48369596086
2,1942.7677772465834,971.3838886232917,971.3838886232917,1.0,True,14268.972406310597
2,2122.009419840957,1061.0047099204785,1061.0047099204785,1.0,True,38387.20063090483
2,2131.6337897172116,1065.8168948586058,1065.8168948586058,1.0,True,38907.56030848781
2,2439.7048980214677,1219.8524490107338,1219.8524490107338,1.0,True,46622.03769612817
2,2451.4376705674063,1225.7188352837031,1225.7188352837031,1.0,True,44213.36948605222
2,2321.4342403484798,1160.7171201742399,1160.7171201742399,1.0,True,46470.50560415704
2,1984.2947970995565,992.1473985497782,992.1473985497782,1.0,True,30554.983666284454
2,2090.7138428855274,1045.3569214427637,1045.3569214427637,1.0,True,31296.102226439107
2,1816.1940173854173,908.0970086927086,908.0970086927086,1.0,True,21433.80853882908
2,2121.2746599447364,1060.6373299723682,1060.6373299723682,1.0,True,39271.18857428034
2,2187.676028467593,1093.8380142337965,1093.8380142337965,1.0,True,37900.691737765796
2,1764.587554614039,882.2937773070195,882.2937773070195,1.0,True,20715.565765120155
2,1999.340667810832,999.670333905416,999.670333905416,1.0,True,28296.079303046055
