相对S1距离,相对示向度方位角,x,y
1389.9999999999998,24.000000000000004,1269.8281861232151,565.3639338753622
1390.0,25.0,1259.7678239809434,587.4393838195722
1390.0,26.0,1249.3237243558422,609.3358940368176
1390.0,27.0,1238.4990686218314,631.04679463797
1390.0,27.999999999999996,1227.2971540739086,652.5654722723882
1410.0,14.0,1368.116974049155,341.1098727955315
1410.0,14.999999999999998,1361.9554150675863,364.9348535945542
1410.0,15.999999999999996,1355.3789912730297,388.6486717019688
1410.0,17.000000000000004,1348.38970590788,412.24410365905885
1410.0,17.999999999999996,1340.9896879761666,435.7139620686758
1410.0000000000002,19.0,1333.1811915950368,459.0510977845909
1410.0,19.999999999999996,1324.966595308131,482.2484020891929
1409.9999999999998,21.0,1316.3484013610544,505.2988088588734
1410.0,22.0,1307.3292349391702,528.1952967164359
1410.0,22.999999999999996,1297.911843367941,550.930891169876
1409.9999999999998,24.000000000000004,1288.0990952760671,573.4986667368782
1410.0,25.0,1277.8939797216765,595.8917490543862
1410.0,26.000000000000004,1267.2996052818255,618.1033169725993
1410.0,27.0,1256.3191991055987,640.126604632761
1410.0,28.0,1244.956105931087,661.954903528106
1430.0,14.999999999999998,1381.2739315933677,370.11123449660465
1430.0000000000002,15.999999999999996,1374.604225191796,394.1614188183088
1430.0,17.000000000000004,1367.5158010271407,418.0915377535136
1430.0,18.0,1360.0108183020695,441.8943019561748
1430.0000000000002,19.0,1352.0915631070231,465.5624608737341
1430.0,20.0,1343.760447723849,489.0888049557063
1429.9999999999998,21.0,1335.0200098909984,512.4661678497794
1430.0,22.0,1325.872912030506,535.6874285847542
1430.0,23.0,1316.3219404369897,558.7455137396615
1429.9999999999998,24.000000000000004,1306.3700044289192,581.6333995983942
1430.0,25.000000000000004,1296.0201354624094,604.3441142892002
1430.0,26.0,1285.2754862078089,626.8707399083808
1430.0,27.0,1274.139329589366,649.2064146275519
1430.0,27.999999999999996,1262.6150577882656,671.3443347838238
1450.0000000000002,14.999999999999998,1400.5924481191491,375.2876153986551
1450.0,16.0,1393.8294591105623,399.6741659346488
1450.0,17.000000000000004,1386.6418961464015,423.93897184796833
1450.0,17.999999999999996,1379.0319486279727,448.0746418436737
1450.0000000000002,19.0,1371.0019346190095,472.0738239628772
1450.0,20.0,1362.5543001395672,495.9292078222196
1450.0,20.999999999999996,1353.6916184209426,519.6335268406854
1450.0,22.0,1344.4165891218418,543.1795604530724
1450.0,23.0,1334.7320375060385,566.560136309447
1449.9999999999998,24.0,1324.6409135817712,589.7681324599102
1450.0,25.0,1314.1462912031425,612.7964795240142
1450.0000000000002,26.000000000000004,1303.2513671337922,635.6381628441624
1450.0,27.0,1291.9594600731334,658.2862246223428
1450.0,28.000000000000004,1280.274009645444,680.7337660395417
1449.9999999999998,29.00000000000001,1268.1985753521237,702.9739493571888
1470.0,14.999999999999998,1419.9109646449303,380.4639963007055
1470.0,16.0,1413.0546930293287,405.1869130509888
1470.0,17.0,1405.7679912656622,429.7864059424231
1469.9999999999998,18.0,1398.0530789538757,454.2549817311727
1470.0000000000002,19.0,1389.9123061309958,478.58518705202033
1470.0000000000002,19.999999999999996,1381.3481525552854,502.769610688733
1470.0,20.999999999999996,1372.3632269508867,526.8008858315914
1469.9999999999998,22.0,1362.9602662131774,550.6716923213907
1470.0,23.0,1353.1421345750873,574.3747588792324
1470.0,24.000000000000004,1342.9118227346232,597.9028653214264
1470.0,25.000000000000004,1332.2724469438754,621.2488447588282
1470.0000000000002,26.0,1321.2272480597755,644.4055857799439
1470.0,27.0,1309.7795905569008,667.3660346171338
1470.0000000000002,28.0,1297.9329615026227,690.1231972952595
1490.0000000000002,16.0,1432.2799269480952,410.6996601673288
1489.9999999999998,17.000000000000004,1424.8940863849227,435.6338400368778
1490.0,17.999999999999996,1417.0742092797789,460.4353216186716
1490.0000000000002,19.0,1408.8226776429822,485.0965501411635
1490.0000000000002,19.999999999999996,1400.1420049710036,509.6100135552464
1490.0,20.999999999999996,1391.0348354808307,533.9682448224974
1490.0,21.999999999999996,1381.5039433045133,558.1638241897089
1490.0,23.0,1371.552231644136,582.1893814490179
1490.0,24.000000000000004,1361.1827318874753,606.0375981829424
1490.0,25.0,1350.3986026846085,629.7012099936421
1490.0,26.0,1339.203128985759,653.1730087157254
1490.0,27.0,1327.599721040668,676.4458446119247
1490.0000000000002,27.999999999999996,1315.5919133598013,699.5126285509773
1510.0000000000002,15.999999999999996,1451.5051608668616,416.2124072836687
1509.9999999999998,17.0,1444.0201815041835,441.4812741313325
1510.0,18.0,1436.0953396056818,466.61566150617057
1510.0000000000002,19.0,1427.7330491549685,491.6079132303066
1510.0,20.0,1418.9358573867216,516.4504164217598
1510.0,20.999999999999996,1409.7064440107747,541.1356038134033
1510.0,22.000000000000004,1400.047620395849,565.6559560580272
1510.0,23.0,1389.962328713185,590.0040040188034
1510.0,24.000000000000004,1379.4536410403273,614.1723310444584
1510.0,25.0,1368.5247584253414,638.1535752284561
1510.0000000000002,26.0,1357.1790099117422,661.940431651507
1510.0,27.0,1345.4198515244354,685.5256546067156
1510.0,28.0,1333.2508652169797,708.9020598066951
1530.0,17.0,1463.1462766234442,447.32870822578724
1530.0000000000002,18.0,1455.116469931585,472.79600139366954
1530.0000000000002,19.0,1446.6434206669549,498.11927631944974
1530.0,20.0,1437.7297098024399,523.2908192882732
1530.0,21.0,1428.3780525407187,548.3029628043095
1530.0,22.000000000000004,1418.5912974871846,573.1480879263454
1530.0,23.0,1408.3724257822337,597.8186265885888
1530.0,24.000000000000004,1397.7245501931793,622.3070639059744
1530.0,25.0,1386.6509141660745,646.6059404632701
1530.0,26.0,1375.1548908377256,670.7078545872885
1530.0,27.0,1363.2399820082028,694.6054646015066
1530.0000000000002,27.999999999999996,1350.9098170741584,718.2914910624129
1550.0,17.0,1482.272371742705,453.176142320242
1550.0,18.0,1474.137600257488,478.97634128116846
1550.0000000000002,19.0,1465.5537921789412,504.6306394085929
1550.0,20.0,1456.523562218158,530.1312221547865
1550.0,21.0,1447.0496610706628,555.4703217952155
1550.0,22.0,1437.1349745785205,580.6402197946636
1550.0000000000002,23.0,1426.7825228512827,605.6332491583744
1550.0,24.000000000000004,1415.9954593460313,630.4417967674904
1550.0,25.000000000000004,1404.7770699068074,655.0583056980842
1550.0000000000002,26.0,1393.130771763709,679.4752775230701
1550.0,27.000000000000004,1381.0601124919701,703.6852745962975
1550.0,28.000000000000004,1368.5687689313368,727.6809223181308
1569.9999999999998,18.000000000000004,1493.158730583391,485.15668116866743
1570.0000000000002,19.0,1484.4641636909275,511.14200249773603
1570.0000000000002,20.0,1475.3174146338763,536.9716250212999
1570.0,21.0,1465.7212696006068,562.6376807861215
1570.0,22.0,1455.6786516698562,588.1323516629818
1570.0000000000002,23.0,1445.1926199203315,613.4478717281598
1570.0,24.000000000000004,1434.2663684988834,638.5765296290064
1570.0,25.000000000000004,1422.9032256475405,663.5106709328982
1570.0000000000002,26.0,1411.1066526896923,688.2427004588516
1570.0000000000002,26.999999999999996,1398.8802429757377,712.7650845910885
1590.0000000000002,19.0,1503.3745352029139,517.6533655868792
1590.0,20.0,1494.1112670495943,543.8120278878132
1590.0,21.0,1484.3928781305508,569.8050397770274
1590.0,22.0,1474.222328761192,595.6244835313001
1590.0000000000002,23.0,1463.6027169893803,621.2624942979453
1590.0,24.000000000000004,1452.5372776517354,646.7112624905224
1590.0,25.0,1441.0293813882734,671.9630361677121
1590.0000000000002,26.0,1429.0825336156756,697.0101233946332
1610.0,20.0,1512.9051194653125,550.6524307543266
1610.0,21.0,1503.0644866604948,576.9723987679334
1610.0,22.0,1492.7660058525278,603.1166153996184
1610.0000000000002,22.999999999999996,1482.012814058429,629.0771168677308
1610.0,24.000000000000004,1470.8081868045874,654.8459953520384
1610.0,25.0,1459.1555371290065,680.4154014025261
1610.0000000000002,26.0,1447.058414541659,705.7775463304147
1630.0,21.0,1521.7360951904388,584.1397577588394
1630.0,22.0,1511.3096829438634,610.6087472679366
1630.0,23.0,1500.4229111274778,636.8917394375162
1630.0,24.000000000000004,1489.0790959574394,662.9807282135544
