run,log_file,idx,vt_s,dt_s,action,channel,x,y,result
6,r06_20260912_222458.jsonl,72,1488.217,6.0,measure,20,-1150.0,0.0,no_signal
6,r06_20260912_222458.jsonl,73,1494.217,6.0,measure,9,-1150.0,0.0,no_signal
6,r06_20260912_222458.jsonl,74,1500.217,6.0,measure,7,-1150.0,0.0,no_signal
6,r06_20260912_222458.jsonl,75,1506.217,6.0,measure,6,-1150.0,0.0,no_signal
6,r06_20260912_222458.jsonl,76,1512.217,6.0,measure,4,-1150.0,0.0,direction
6,r06_20260912_222458.jsonl,77,1518.217,6.0,measure,3,-1150.0,0.0,no_signal
6,r06_20260912_222458.jsonl,78,1524.217,6.0,measure,2,-1150.0,0.0,no_signal
6,r06_20260912_222458.jsonl,79,1530.217,6.0,measure,1,-1150.0,0.0,no_signal
6,r06_20260912_222458.jsonl,80,1536.217,6.0,measure,4,-1150.0,0.0,direction
6,r06_20260912_222458.jsonl,81,1611.217,75.0,measure,4,-1222.231,342.466,direction
6,r06_20260912_222458.jsonl,82,1672.927,61.71,measure,4,-1115.966,605.35,direction
6,r06_20260912_222458.jsonl,83,1714.13,41.203,measure,4,-1138.852,784.911,direction
6,r06_20260912_222458.jsonl,84,1743.13,29.0,measure,4,-1106.042,900.339,direction
6,r06_20260912_222458.jsonl,85,1772.13,29.0,measure,4,-1108.808,1020.307,direction
6,r06_20260912_222458.jsonl,86,1782.002,9.872,clear,4,-1099.026,1042.619,success
6,r06_20260912_222458.jsonl,87,1893.222,111.22,measure,3,-575.0,995.929,no_signal
6,r06_20260912_222458.jsonl,88,1899.222,6.0,measure,2,-575.0,995.929,no_signal
6,r06_20260912_222458.jsonl,89,1905.222,6.0,measure,6,-575.0,995.929,no_signal
6,r06_20260912_222458.jsonl,90,1911.222,6.0,measure,1,-575.0,995.929,no_signal
6,r06_20260912_222458.jsonl,91,1917.222,6.0,measure,7,-575.0,995.929,no_signal
6,r06_20260912_222458.jsonl,92,1923.222,6.0,measure,9,-575.0,995.929,no_signal
6,r06_20260912_222458.jsonl,93,1929.222,6.0,measure,10,-575.0,995.929,no_signal
6,r06_20260912_222458.jsonl,94,1935.222,6.0,measure,11,-575.0,995.929,no_signal
6,r06_20260912_222458.jsonl,95,1941.222,6.0,measure,13,-575.0,995.929,no_signal
6,r06_20260912_222458.jsonl,96,1947.222,6.0,measure,14,-575.0,995.929,no_signal
6,r06_20260912_222458.jsonl,97,1953.222,6.0,measure,16,-575.0,995.929,no_signal
6,r06_20260912_222458.jsonl,98,1959.222,6.0,measure,17,-575.0,995.929,no_signal
6,r06_20260912_222458.jsonl,99,1965.222,6.0,measure,19,-575.0,995.929,no_signal
6,r06_20260912_222458.jsonl,100,1971.222,6.0,measure,20,-575.0,995.929,no_signal
6,r06_20260912_222458.jsonl,101,2206.222,235.0,measure,20,575.0,995.929,no_signal
6,r06_20260912_222458.jsonl,102,2212.222,6.0,measure,19,575.0,995.929,no_signal
6,r06_20260912_222458.jsonl,103,2218.222,6.0,measure,17,575.0,995.929,no_signal
6,r06_20260912_222458.jsonl,104,2224.222,6.0,measure,16,575.0,995.929,direction
6,r06_20260912_222458.jsonl,105,2230.222,6.0,measure,14,575.0,995.929,no_signal
6,r06_20260912_222458.jsonl,106,2236.222,6.0,measure,13,575.0,995.929,no_signal
6,r06_20260912_222458.jsonl,107,2242.222,6.0,measure,11,575.0,995.929,no_signal
6,r06_20260912_222458.jsonl,108,2248.222,6.0,measure,10,575.0,995.929,no_signal
6,r06_20260912_222458.jsonl,109,2254.222,6.0,measure,9,575.0,995.929,no_signal
6,r06_20260912_222458.jsonl,110,2260.222,6.0,measure,7,575.0,995.929,no_signal
6,r06_20260912_222458.jsonl,111,2266.222,6.0,measure,6,575.0,995.929,no_signal
6,r06_20260912_222458.jsonl,112,2272.222,6.0,measure,3,575.0,995.929,no_signal
6,r06_20260912_222458.jsonl,113,2278.222,6.0,measure,2,575.0,995.929,no_signal
6,r06_20260912_222458.jsonl,114,2284.222,6.0,measure,1,575.0,995.929,direction
6,r06_20260912_222458.jsonl,115,2289.222,5.0,measure,1,575.0,995.929,direction
6,r06_20260912_222458.jsonl,116,2295.222,6.0,measure,16,575.0,995.929,direction
6,r06_20260912_222458.jsonl,117,2371.222,76.0,measure,1,765.367,1289.63,direction
6,r06_20260912_222458.jsonl,118,2402.054,30.831,clear,1,757.494,1160.714,success
6,r06_20260912_222458.jsonl,119,2478.054,76.0,measure,16,768.976,1510.526,direction
6,r06_20260912_222458.jsonl,120,2507.054,29.0,measure,16,693.621,1417.137,direction
